Date,Open,High,Low,Close,Volume,O/C,H/C,L/C,reportedEPS,estimatedEPS,surprise,surprisePercentage,rEPS/C,estEPS/C,surEPS/C,sP/C
7/16/2014,24.2425,24.2750,23.6850,21.0143,213585200,1.15362,1.1552,1.1271,0.415,0.365,0.05,13.6986,0.0197,0.0174,0.0024,0.6519
7/15/2014,24.2000,24.2125,23.7575,21.1340,181911600,1.14507,1.1457,1.1241,0.415,0.365,0.05,13.6986,0.0196,0.0173,0.0024,0.6482
7/14/2014,23.9650,24.2225,23.9125,21.3845,171240000,1.12067,1.1327,1.1182,0.415,0.365,0.05,13.6986,0.0194,0.0171,0.0023,0.6406
7/11/2014,23.8400,23.9725,23.7150,21.1118,136072000,1.12922,1.1355,1.1233,0.415,0.365,0.05,13.6986,0.0197,0.0173,0.0024,0.6489
7/10/2014,23.4400,23.8875,23.3800,21.0719,158744000,1.11238,1.1336,1.1095,0.415,0.365,0.05,13.6986,0.0197,0.0173,0.0024,0.6501
7/9/2014,23.8600,23.9875,23.6900,21.1495,145744000,1.12816,1.1342,1.1201,0.415,0.365,0.05,13.6986,0.0196,0.0173,0.0024,0.6477
7/8/2014,24.0675,24.2000,23.4800,21.1407,260888000,1.13845,1.1447,1.1107,0.415,0.365,0.05,13.6986,0.0196,0.0173,0.0024,0.6480
7/7/2014,23.5350,23.9975,23.5250,21.2781,225872000,1.10607,1.1278,1.1056,0.415,0.365,0.05,13.6986,0.0195,0.0172,0.0023,0.6438
7/3/2014,23.4175,23.5250,23.3000,20.8480,91567200,1.12325,1.1284,1.1176,0.415,0.365,0.05,13.6986,0.0199,0.0175,0.0024,0.6571
7/2/2014,23.4675,23.5150,23.2725,20.7260,113860000,1.13227,1.1346,1.1229,0.415,0.365,0.05,13.6986,0.0200,0.0176,0.0024,0.6609
7/1/2014,23.3800,23.5175,23.2825,20.7349,152892000,1.12757,1.1342,1.1229,0.415,0.365,0.05,13.6986,0.0200,0.0176,0.0024,0.6607
6/30/2014,23.0250,23.4325,23.0225,20.6041,197929200,1.11750,1.1373,1.1174,0.415,0.365,0.05,13.6986,0.0201,0.0177,0.0024,0.6648
6/27/2014,22.7050,23.0000,22.6925,20.3935,256116000,1.11335,1.1278,1.1127,0.415,0.365,0.05,13.6986,0.0203,0.0179,0.0025,0.6717
6/26/2014,22.5925,22.7625,22.4500,20.1540,130516000,1.12099,1.1294,1.1139,0.415,0.365,0.05,13.6986,0.0206,0.0181,0.0025,0.6797
6/25/2014,22.5525,22.6750,22.4125,20.0343,147476000,1.12570,1.1318,1.1187,0.415,0.365,0.05,13.6986,0.0207,0.0182,0.0025,0.6838
6/24/2014,22.6875,22.9350,22.5475,20.0165,156144000,1.13344,1.1458,1.1264,0.415,0.365,0.05,13.6986,0.0207,0.0182,0.0025,0.6844
6/23/2014,22.8300,22.9050,22.6500,20.1385,174776000,1.13365,1.1374,1.1247,0.415,0.365,0.05,13.6986,0.0206,0.0181,0.0025,0.6802
